hek293	hela	k562
ENSG00000074855	2.28543769875359	2.28735377271475	NA
ENSG00000136938	1.95216236048483	2.38021124171161	1.69970224179019
ENSG00000143401	2.46581567275906	2.73671513360561	NA
ENSG00000169604	1.96655747315026	2.84707886206572	NA
ENSG00000163297	1.70945925893316	NA	NA
ENSG00000135046	2.05239602109376	3.01694981309756	1.80781432618292
ENSG00000122359	2.51648114736286	2.87016972113644	NA
ENSG00000182718	2.48859388832885	3.15836249209525	NA
ENSG00000164111	2.45551902053918	3.15836249209525	NA
ENSG00000138279	2.19590047140847	2.89674661560741	NA
ENSG00000131471	1.79576539069517	NA	NA
ENSG00000100280	2.44708322867403	3.11481107383806	NA
ENSG00000166747	2.1043019692589	2.55047295710656	NA
ENSG00000072958	2.16773153776889	2.6182573448404	NA
ENSG00000196961	2.47552988756284	3.03798394944713	2.35463111873286
ENSG00000183020	2.24459262022724	2.32345836684947	NA
ENSG00000006125	2.21604281100869	3.15836249209525	NA
ENSG00000161203	2.54266428442964	3.15836249209525	NA
ENSG00000042753	2.1730871674852	3.15836249209525	NA
ENSG00000132842	2.15925363005861	2.93651374247889	NA
ENSG00000065000	2.2801712713823	2.83238116024704	NA
ENSG00000185009	2.13486274011809	2.59439255037543	NA
ENSG00000070718	1.6859158084783	2.20466251174822	NA
ENSG00000157823	2.01379476310373	2.33081946649584	NA
ENSG00000134262	1.79995179206479	2.3392526340327	NA
ENSG00000081014	1.99742980741253	2.34635297445064	NA
ENSG00000221838	1.91930822031866	2.26670196688409	NA
ENSG00000100478	2.29387055875828	2.2464985807958	NA
ENSG00000120868	2.03535090429999	2.30835094858673	NA
ENSG00000011132	1.67729942129172	2.50893352605003	NA
ENSG00000166313	2.22154340825282	NA	NA
ENSG00000134982	1.72506311408119	2.50160692241883	NA
ENSG00000100823	1.9449184029162	2.62634036737504	NA
ENSG00000169188	1.82563435699713	2.32345836684947	1.86118067469635
ENSG00000117362	2.04350875949122	2.78118072093726	NA
ENSG00000138613	2.11968645642453	2.23451728351269	NA
ENSG00000149089	2.31160751597755	2.82386530932451	2.04357990504699
ENSG00000105290	2.5077673133166	3.15836249209525	NA
ENSG00000084234	2.57764008443774	3.15836249209525	NA
ENSG00000179750	2.22633845875859	2.997997636408	2.0370493493552
ENSG00000244509	1.81838776502329	2.81077001123436	2.2240559517549
ENSG00000128394	1.81123649608338	NA	NA
ENSG00000130203	2.12952745912115	NA	2.29398881522588
ENSG00000128335	1.61032453160785	2.27369558793009	1.91681958907475
ENSG00000142192	2.28851569306658	3.15836249209525	NA
ENSG00000062725	1.94596200635133	2.32345836684947	NA
ENSG00000136044	2.23522970769939	2.41363499719856	NA
ENSG00000198931	2.37511936213968	3.15836249209525	NA
ENSG00000021776	2.04480254375698	2.70552161342267	NA
ENSG00000078061	1.94853305115595	2.68124123737559	NA
ENSG00000186635	2.50269896096166	NA	NA
ENSG00000047365	1.44639133061687	2.22219604630172	NA
ENSG00000095139	2.17400014233028	2.66181268553726	NA
ENSG00000168374	2.18651633976917	2.84670814545601	1.99874503927416
ENSG00000004059	2.12906027398048	3.15836249209525	2.20637877488581
ENSG00000165527	1.28430280863994	2.18127177155946	1.72115440436744
ENSG00000149182	2.00361662958372	2.38021124171161	NA
ENSG00000242247	2.10861390246852	2.59439255037543	1.9834413164971
ENSG00000066777	2.28847290057877	2.29402509409532	NA
ENSG00000132254	1.98788278905001	2.73383900069715	NA
ENSG00000101246	1.94510283986123	2.19312459835446	NA
ENSG00000081181	2.15003868171558	2.95684049015923	1.92879145565472
ENSG00000134884	1.77796574351737	2.14921911265538	NA
ENSG00000175220	1.84640836050864	2.75035408876271	2.08914213228316
ENSG00000165322	1.73115371370963	2.22219604630172	NA
ENSG00000140750	2.03334030155515	2.38021124171161	NA
ENSG00000146376	2.18580024219208	2.28735377271475	1.86383326326827
ENSG00000107863	2.0608851455756	2.29402509409532	NA
ENSG00000128805	1.57597929602249	2.16554107672237	NA
ENSG00000145819	1.9845936051988	2.32345836684947	NA
ENSG00000088756	1.8464167252441	NA	NA
ENSG00000100852	1.82921156327415	2.31597034545692	NA
ENSG00000141522	1.94008704879297	2.76042248342321	NA
ENSG00000076928	2.52237076196609	2.71466499286254	NA
ENSG00000196914	2.29813103652062	2.85733249643127	NA
ENSG00000110237	1.90698637982101	2.27369558793009	NA
ENSG00000104880	1.64724999077415	2.6170003411209	NA
ENSG00000163947	1.3778808497723	2.26670196688409	NA
ENSG00000050327	1.63234404364012	NA	NA
ENSG00000129675	2.62289863475688	NA	2.19381758919271
ENSG00000102606	2.04241747807107	2.22219604630172	NA
ENSG00000131089	2.00208318948652	NA	NA
ENSG00000049618	1.78397950383995	2.31597034545692	NA
ENSG00000189079	1.65426034508176	2.29402509409532	NA
ENSG00000116017	1.63121259903783	2.2405492482826	NA
ENSG00000179361	1.70788843922699	2.13417710757677	NA
ENSG00000032219	1.55916391786816	2.1981069988734	NA
ENSG00000054267	1.37436289964595	2.15472820744016	NA
ENSG00000166233	1.91578081004762	2.25382243870807	NA
ENSG00000120805	2.38562849368656	2.70243053644553	NA
ENSG00000169379	1.94519889295628	2.22219604630172	NA
ENSG00000185305	2.05638371858621	2.20466251174822	NA
ENSG00000102931	1.9776955707935	2.7419390777292	1.96856719236546
ENSG00000138175	2.49674731540193	2.89342884177954	1.98453303911487
ENSG00000122644	1.1242378642493	2.11461098423217	NA
ENSG00000188042	0.975522702961745	NA	NA
ENSG00000175906	0.891377765987443	2.10243370568134	NA
ENSG00000165997	1.73798013940563	2.18127177155946	1.79720312760535
ENSG00000182196	2.25423201981954	2.34635297445064	NA
ENSG00000143862	1.4204407663251	2.31597034545692	1.74449332323387
ENSG00000134108	2.01795418224398	2.68124123737559	NA
ENSG00000104442	1.89613860486857	2.36361197989214	1.94833700533974
ENSG00000170632	2.12490099388552	2.59571661994342	NA
ENSG00000169126	1.98933596672134	2.25959387888595	NA
ENSG00000140691	1.26567950782999	2.26670196688409	NA
ENSG00000105676	2.04622213751372	2.56205482965638	NA
ENSG00000125449	1.28774661714467	2.17609125905568	NA
ENSG00000114098	1.8695351827286	2.22219604630172	NA
ENSG00000184867	1.83170836428428	2.35449260058944	NA
ENSG00000102401	1.90413837352261	2.40959501939682	NA
ENSG00000125962	1.73753802382887	2.2792105126014	NA
ENSG00000198960	1.37195173610157	2.16554107672237	NA
ENSG00000143437	1.95039230491626	2.68824179597771	NA
ENSG00000172379	1.94637557241136	NA	NA
ENSG00000133794	1.95324749435847	2.25382243870807	NA
ENSG00000241685	2.29311990243275	2.95684049015923	NA
ENSG00000130429	2.09535060563243	3.15836249209525	NA
ENSG00000163466	2.42738683964717	2.99563519459755	NA
ENSG00000111229	2.4057272583027	NA	1.71702095735604
ENSG00000136950	1.45837897122354	2.2792105126014	1.94415362799488
ENSG00000137486	2.18159327032137	2.28735377271475	NA
ENSG00000141480	2.24103967735051	2.70910028155117	NA
ENSG00000197070	2.3823817888281	2.49415459401844	NA
ENSG00000113369	1.15637828983881	2.0920184707528	NA
ENSG00000100299	2.62193589531906	NA	NA
ENSG00000113273	2.13838571819112	3.12057393120585	2.2969980320845
ENSG00000173409	1.96880166951126	2.32345836684947	1.82100554183602
ENSG00000104763	2.44071738777062	3.15836249209525	NA
ENSG00000153317	1.82092354137562	2.29402509409532	NA
ENSG00000151693	1.93393826677255	2.23451728351269	NA
ENSG00000065802	1.804262376686	2.21590181320403	NA
ENSG00000148331	1.48568707335294	2.25959387888595	1.80927901426092
ENSG00000183475	1.17657540196855	2.10653085382238	NA
ENSG00000138303	1.9834769587144	NA	NA
ENSG00000100325	2.20084010761522	2.79183094767484	NA
ENSG00000112249	1.99854680991254	2.61762929775784	NA
ENSG00000111875	1.84916517102993	2.21590181320403	1.77947037757892
ENSG00000105011	1.6672306508894	2.51454775266029	2.08792250540085
ENSG00000129691	2.00165099737197	2.61129836229643	NA
ENSG00000169093	2.19206994443057	NA	NA
ENSG00000198356	1.80534038689763	2.85733249643127	2.08441407610151
ENSG00000070669	2.29118647814975	3.10917342142547	NA
ENSG00000198363	2.3816647050135	2.85733249643127	NA
ENSG00000128203	1.44716510920652	NA	NA
ENSG00000169696	2.33732872559074	2.3392526340327	NA
ENSG00000162174	2.207525506247	2.70139526901392	NA
ENSG00000130707	2.21781630879102	3.15836249209525	NA
ENSG00000156802	2.16609374723552	2.34635297445064	NA
ENSG00000197785	2.21449308341562	2.69670578093392	2.30158277204654
ENSG00000160072	1.75317038098118	2.79518458968242	NA
ENSG00000176208	1.61980952848071	2.13987908640124	2.07157838159385
ENSG00000107669	1.70947022945349	2.30059548388996	NA
ENSG00000115966	1.8594914217459	2.36361197989214	NA
ENSG00000162772	1.05362115666044	2.13033376849501	NA
ENSG00000170653	1.90883638457972	2.45666962942376	NA
ENSG00000171681	1.67724526959698	2.29402509409532	NA
ENSG00000110046	2.05832416496456	2.4437322414016	NA
ENSG00000066739	2.34811175791866	2.51851393987789	NA
ENSG00000144848	2.18249379188211	2.83695673705955	1.97667031014603
ENSG00000101844	2.07645950298013	2.50487845941022	NA
ENSG00000168397	2.60572578772605	NA	NA
ENSG00000125703	2.19549946309398	2.22219604630172	NA
ENSG00000057663	1.94526071774786	2.27369558793009	NA
ENSG00000197548	2.04161185268068	2.22219604630172	NA
ENSG00000198925	2.14917317319564	2.94458136422693	NA
ENSG00000142102	2.36160329169314	2.18127177155946	NA
ENSG00000138363	2.38543265334967	2.99060521142392	NA
ENSG00000119787	1.86947719340012	2.20951501454263	NA
ENSG00000149311	1.94662745397837	NA	NA
ENSG00000166454	1.68598425223742	2.29402509409532	NA
ENSG00000111676	2.19923697136738	2.75266294312097	NA
ENSG00000145246	1.99847240735172	2.80468451490694	NA
ENSG00000068650	2.20896003499218	2.42553422049826	NA
ENSG00000101974	2.50320549453099	2.76267856372744	NA
ENSG00000105726	1.99045943045802	2.32345836684947	NA
ENSG00000133657	2.31282743823699	NA	NA
ENSG00000163399	2.41155161869413	3.15836249209525	NA
ENSG00000105409	2.35499183652264	NA	NA
ENSG00000143153	1.7228712166501	NA	NA
ENSG00000129244	2.29349078391117	NA	2.09539380471836
ENSG00000174437	2.17770547011783	2.8079407212155	NA
ENSG00000070961	2.14320750910546	2.58838376837873	NA
ENSG00000058668	2.25823757349461	2.74989084127142	NA
ENSG00000017260	2.43330776541009	2.80140371001736	NA
ENSG00000152234	2.38375892434217	3.15836249209525	NA
ENSG00000110955	2.32278899213933	3.15836249209525	NA
ENSG00000165629	2.51581643541333	3.15836249209525	NA
ENSG00000099624	2.38353869804048	3.12273999296236	NA
ENSG00000124172	2.23000400100962	NA	1.77434318881699
ENSG00000116459	2.29762740013718	3.15836249209525	NA
ENSG00000167863	2.34821892461393	3.15836249209525	1.99508540606474
ENSG00000169020	2.46040912654275	3.15836249209525	1.73212131396585
ENSG00000154723	2.18406973423892	3.15836249209525	1.83371316125724
ENSG00000241468	2.47702464860119	3.15836249209525	NA
ENSG00000167283	2.3805487721048	3.15836249209525	NA
ENSG00000241837	2.4749488849733	3.15836249209525	NA
ENSG00000125375	1.97215323758994	2.17609125905568	NA
ENSG00000105341	1.92434828740147	2.766264090652	NA
ENSG00000071553	2.24621951814128	3.15836249209525	NA
ENSG00000182220	2.55328151089478	NA	2.14487620371281
ENSG00000033627	2.23013803794838	2.97322024685223	NA
ENSG00000185344	2.13843632769128	2.80263691808281	NA
ENSG00000185883	1.94559601059886	3.15836249209525	2.02822674536005
ENSG00000114573	2.25484007815422	2.96764156408301	2.18450749901237
ENSG00000147416	2.12204459520861	2.71966268301805	1.94292089204993
ENSG00000155097	2.30830274797151	NA	NA
ENSG00000143882	1.89358132604784	3.15836249209525	NA
ENSG00000131100	2.05132681511265	2.71113207230684	1.98402720201562
ENSG00000128524	2.13792926714472	2.98927179164169	1.91027974275841
ENSG00000136888	2.04133773425768	2.60616631460762	2.14296374107791
ENSG00000047249	2.09414224225623	2.70139526901392	NA
ENSG00000165240	1.98116578003211	2.72802895442052	NA
ENSG00000123191	2.46805191497048	2.43136376415899	NA
ENSG00000124406	2.09122899600653	2.13417710757677	NA
ENSG00000054793	2.31005709432939	2.69879625179043	NA
ENSG00000166377	2.179094741287	2.25959387888595	NA
ENSG00000123472	2.28694516869309	2.84596576154548	NA
ENSG00000171953	2.10589459825983	2.36361197989214	NA
ENSG00000088812	2.08370259162685	2.80057962156913	NA
ENSG00000107518	2.24043628441307	NA	NA
ENSG00000085224	2.00282424938298	2.2405492482826	NA
ENSG00000130638	2.51654017257002	3.09138554207837	NA
ENSG00000168488	2.12440531232364	2.77815125038364	NA
ENSG00000066427	1.90378426036827	NA	NA
ENSG00000148090	2.12105811100551	2.25382243870807	NA
ENSG00000087586	1.93679607769171	2.31597034545692	NA
ENSG00000175756	2.05756958303842	NA	1.97876037298865
ENSG00000158321	1.52578927595547	2.17609125905568	NA
ENSG00000169857	2.29070487790227	2.34635297445064	1.98984881304237
ENSG00000105778	1.78545125677843	2.33081946649584	NA
ENSG00000103126	1.7157951216169	2.35449260058944	2.17443828079183
ENSG00000176022	1.51208175297446	2.22219604630172	1.70746027757478
ENSG00000149541	1.96812144092595	2.80955971463527	NA
ENSG00000176597	1.50526164600785	NA	NA
ENSG00000135454	2.07227730056065	2.57886832866603	NA
ENSG00000139044	2.1644424346896	NA	NA
ENSG00000086062	1.77394729058307	2.7044936970093	2.03864151231509
ENSG00000158470	1.35854272159256	2.1981069988734	1.74563806292692
ENSG00000027847	1.92728994785332	2.61193562504012	NA
