EnsemblGeneID,GeneName,UniProtID,UniProtID_T,K,k,T50,ProteinHalfLife
ENSG00000156414,TDRD9,Q8NDG6,Q8NDG6;Q8NDG6-2,0.155492765,0.129601725,4.457745543,0.728214678
ENSG00000170421,KRT8,P05787,P05787;P05787-2;CON__H-INV:HIT000016045,0.031089709,0.01526,22.2950682,1.657270927
ENSG00000052841,TTC17,Q96AE7,Q96AE7;Q96AE7-2,0.0699,0.04742,9.916268678,1.164863911
ENSG00000064607,SUGP2,Q8IX01,Q8IX01-4;Q8IX01-3;Q8IX01,0.031625306,0.006746199,21.91748511,2.011766318
ENSG00000140682,TGFB1I1,O43294,O43294-2;O43294,0.095147254,0.069248552,7.284994041,1.000414767
ENSG00000167657,DAPK3,O43293,O43293;O43293-2,0.0549,0.02866,12.6256317,1.383549275
ENSG00000135525,MAP7,Q14244,Q14244;Q14244-3;Q14244-2,0.026438797,0.01336,26.21704664,1.715019003
ENSG00000171202,TMEM126A,Q9H061,Q9H061,0.0706,0.04436,9.817948733,1.193833923
ENSG00000104885,DOT1L,Q8TEK3,Q8TEK3-2;Q8TEK3,0.11,0.08376,6.301338005,0.917788792
ENSG00000122882,ECD,O95905,O95905;O95905-3;O95905-2,0.076948684,0.051038546,9.007914661,1.132927165
ENSG00000106415,GLCCI1,Q86VQ1,Q86VQ1,0.055964274,0.031509008,12.38552968,1.342390727
ENSG00000080371,RAB21,Q9UL25,Q9UL25,0.029195719,0.00596,23.74139797,2.065579201
ENSG00000078687,TNRC6C,Q9HCJ0,Q9HCJ0;Q9HCJ0-2,0.059646458,0.035634259,11.6209277,1.288957731
ENSG00000148606,POLR3A,O14802,O14802,0.0627,0.03646,11.05497896,1.279008797
ENSG00000120699,EXOSC8,Q96B26,Q96B26,0.0368,0.010909225,18.83552121,1.803031544
ENSG00000137269,LRRC1,Q9BTT6,Q9BTT6-2;Q9BTT6,0.0346,0.00836,20.03315551,1.918619184
ENSG00000169093,ASMTL,O95671,O95671-2;O95671;O95671-3,0.0223,0.00956,31.08283321,1.860367569
ENSG00000171097,CCBL1,Q16773,Q16773-2;Q16773;Q16773-3,0.023692404,0.002803997,29.25609343,2.393047894
ENSG00000152229,PSTPIP2,Q9H939,Q9H939;Q9H939-2,0.0311,0.00486,22.28769069,2.154189192
