Gene_ID	brain_1	brain_2	brain_3	liver_1	liver_2	liver_3	testis_1	testis_2	testis_3
ENSG00000072756	19.5037	21.8109	30.0298	7.3605	0.3659	0.7644	24.4325	8.3169	7.4587
ENSG00000072778	60.4616	33.3839	43.7939	295.9837	485.5126	613.0664	105.6863	91.3858	96.2772
ENSG00000072786	4.9499	3.4571	3.1074	11.1357	27.8394	21.9197	44.3601	37.575	120.1973
ENSG00000072803	110.9695	114.7476	107.0703	14.1848	1.7063	1.7015	39.2619	26.4309	9.9036
ENSG00000072818	0	0	0	2.2446	5.3158	3.0291	100.9513	187.983	26.2184
ENSG00000072832	114.0575	76.7909	121.5663	0.2615	0	0.2614	3.9483	3.4011	15.5274
ENSG00000072840	2.2169	3.8833	2.9	3.0689	5.1852	5.251	7.7106	4.9776	67.5864
ENSG00000072849	13.859	12.6071	17.5396	26.7683	25.0334	13.6821	48.6864	62.9509	32.8057
ENSG00000072858	18.2578	8.6137	13.2001	NA	NA	NA	2.0417	3.4256	0.5573
ENSG00000072864	14.7054	18.0745	9.9424	2.4301	6.9758	7.8274	48.9342	56.7182	54.5637
ENSG00000072952	19.7203	47.2012	17.9011	0	1.1818	2.4693	7.0254	6.1922	31.7306
ENSG00000072954	50.6957	25.2142	46.8389	5.1977	12.0691	12.8855	8.4528	11.2556	18.4097
ENSG00000072958	73.5792	61.6146	71.5008	20.5525	70.1767	61.205	127.2138	124.4901	150.4189
ENSG00000073008	24.5639	13.8566	23.8684	21.11	29.8156	47.6255	27.0618	28.9891	52.6782
ENSG00000073050	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000073060	22.0704	12.8826	17.3303	161.0277	208.5365	123.2309	27.5136	13.7126	104.0177
ENSG00000073111	4.2879	4.6568	3.6582	3.9163	4.4087	3.3391	26.4545	13.6666	71.272
ENSG00000073146	0.7821	0.6375	0.9722	NA	NA	NA	61.2913	49.3367	24.6641
ENSG00000073150	12.3357	14.1212	13.8094	3.7105	18.8377	21.7639	0.8067	0.4269	4.2537
ENSG00000073169	24.2772	15.922	20.4444	34.1964	155.233	105.528	26.9029	28.1506	66.0747
ENSG00000073282	NA	NA	NA	NA	NA	NA	5.1247	3.3857	6.7556
ENSG00000073331	1.6262	1.545	1.1311	3.7402	0.9263	1.6714	2.8678	1.2551	2.0511
ENSG00000073350	2.1364	2.1139	1.946	11.546	80.2777	46.5327	5.0648	4.7057	35.7184
ENSG00000073417	49.1054	60.2798	32.5058	26.7527	10.3066	11.5183	NA	NA	NA
ENSG00000073464	116.1421	99.4842	108.8003	4.6747	7.1944	5.0977	4.0756	2.3091	12.8126
ENSG00000073536	16.8967	10.8061	15.9071	3.5366	9.6394	14.141	13.0713	22.2791	29.2862
ENSG00000073578	65.3488	67.469	67.4909	54.1844	172.5656	168.0829	61.4986	53.2144	90.6623
ENSG00000073584	22.4645	24.0252	13.1261	21.5479	22.8878	18.059	32.404	29.2239	47.8454
ENSG00000073598	0.2325	0.3127	0	0.1279	0	0	78.8672	209.7547	3.1059
ENSG00000073605	6.6222	0.535	4.3013	2.3932	16.2206	13.955	5.0676	2.8226	1.5907
ENSG00000073614	34.6074	30.9421	31.5821	10.9303	6.4	5.8256	89.1973	66.4781	29.9658
ENSG00000073670	50.5215	32.1657	42.4511	NA	NA	NA	2.8736	3.4832	3.708
ENSG00000073711	10.7425	13.8386	12.7679	0.7875	0.6029	0.3149	20.39	11.6845	5.2744
ENSG00000073712	40.7372	45.2238	39.9259	30.2858	14.1975	25.1471	31.7244	21.987	18.888
ENSG00000073734	NA	NA	NA	42.667	12.7611	21.2232	14.2106	22.0811	0.5461
ENSG00000073737	3.2044	5.8715	4.1564	0.7147	0	0	7.2253	12.8434	1.4871
ENSG00000073754	NA	NA	NA	19.9841	132.5479	118.7422	NA	NA	NA
ENSG00000073756	19.8796	4.5011	8.6664	2.6564	2.9146	0.5665	1.1631	0.2821	0.4216
ENSG00000073792	0	0.5948	0.1374	1.8712	2.0557	1.247	8.6672	33.457	4.3657
ENSG00000073803	23.28	18.3715	19.9533	8.4282	12.7552	9.5855	16.9783	16.4716	0
ENSG00000073849	25.82	31.7545	24.6975	490.9621	185.0587	117.7533	2.4572	0.8975	4.4434
ENSG00000073861	NA	NA	NA	0.6206	1.7073	0.853	0.201	0.208	1.2438
ENSG00000073910	43.1351	28.496	54.4346	3.4521	8.1078	5.333	5.8988	4.7692	7.1081
ENSG00000073921	166.1063	271.9256	160.2863	80.7821	18.4775	23.6141	86.0519	75.5085	32.9475
ENSG00000073969	132.4833	111.107	154.6708	3.6	1.175	0.7253	16.8856	12.9758	6.6971
ENSG00000074047	0.4159	0.317	0.3748	NA	NA	NA	1.5598	1.89	21.3717
ENSG00000074054	69.6923	72.1109	74.7563	10.4634	11.7999	13.7874	46.1	39.5738	25.4992
ENSG00000074071	46.5543	45.7902	37.8958	38.7338	148.615	105.9078	22.7042	14.6257	93.5002
ENSG00000074181	8.818	2.0144	10.074	3.4342	8.6148	8.2575	4.4016	2.5622	69.973
ENSG00000074201	73.1179	143.6575	82.7073	50.667	14.5444	15.3689	57.7656	27.3215	27.4467
ENSG00000074211	257.9729	226.2044	246.2414	NA	NA	NA	10.7103	20.2859	10.3001
ENSG00000074219	1.1198	0.1913	0.8949	4.7022	5.3815	6.3593	14.167	22.2901	34.9152
ENSG00000074266	26.0657	19.2163	22.7757	1.8901	0	0	20.8114	10.0405	8.1562
ENSG00000074276	0.7905	1.1375	0.7427	60.4697	65.3727	7.3557	23.8306	75.8815	1.7185
ENSG00000074317	358.8606	325.4636	343.5519	NA	NA	NA	0.783	0.6077	3.1792
ENSG00000074319	29.4039	39.6868	34.6734	18.1854	11.0918	8.6109	65.8089	54.7276	28.5083
ENSG00000074356	23.9861	21.0206	17.827	10.5796	13.1346	12.2489	35.9105	27.6328	79.9337
ENSG00000074370	0.2248	0.9406	1.5369	3.4279	6.4174	7.1511	0.1958	1.9751	12.0357
ENSG00000074410	1.5616	0.487	1.0128	0	0	0	0.8672	2.3558	0.3773
ENSG00000074416	139.0655	76.2825	116.7392	53.3451	150.2525	68.5018	5.7246	6.3471	39.3232
ENSG00000074527	29.3139	22.265	43.0361	42.6706	10.0142	22.6085	13.3199	7.8838	41.7243
ENSG00000074582	15.9536	11.6809	13.3397	6.9798	19.2309	12.1729	4.6763	1.9755	15.0038
ENSG00000074590	133.5108	122.5235	153.7421	2.6241	8.4019	9.4835	4.0935	1.7197	19.9093
ENSG00000074603	65.5783	81.4003	80.6179	6.568	0.3098	0.7398	56.3317	57.2635	4.2025
ENSG00000074621	0.646	1.518	0.6784	1.3746	12.4954	5.6681	5.0549	5.8314	10.0621
ENSG00000074657	24.3988	26.1438	24.3461	2.3474	1.803	2.4582	21.3477	17.1316	30.9667
ENSG00000074660	4.0606	1.4304	2.9745	6.6003	21.0519	17.3741	0.7934	0.975	12.3108
ENSG00000074695	27.4515	40.3484	29.0521	161.8518	85.961	105.5011	65.4855	28.5087	55.7051
ENSG00000074696	170.046	142.8905	172.3372	78.4098	19.1816	16.031	80.6789	54.484	22.087
ENSG00000074706	102.9356	130.8328	121.8898	NA	NA	NA	4.2574	2.57	1.3719
ENSG00000074755	22.0357	15.0672	23.0725	7.1859	13.7282	13.9954	22.83	20.3376	22.599
ENSG00000074800	522.8874	485.1565	479.7881	156.7683	199.215	205.3455	298.8482	366.6993	322.4137
ENSG00000074803	0.9422	1.1788	1.4436	NA	NA	NA	1.6441	2.4747	0
ENSG00000074842	27.0115	25.09	28.5834	96.6658	183.1625	132.3423	49.7223	34.1549	157.8753
ENSG00000074855	19.2938	12.778	14.3973	2.471	11.748	7.6417	0	0	0
ENSG00000074935	15.6971	4.268	13.1551	9.6966	5.0989	6.7239	71.1363	53.4269	6.9071
ENSG00000074964	18.4203	15.7241	15.4015	15.7649	134.1446	102.9269	20.1941	9.7521	29.9334
ENSG00000074966	0.3951	0	0.3274	0.9089	0.4348	0.9085	2.5897	1.3887	0.3004
ENSG00000075035	33.2581	24.5906	34.9103	NA	NA	NA	0.3748	0.1939	1.0869
ENSG00000075043	118.6809	82.881	121.3382	NA	NA	NA	14.0081	11.8025	45.3099
ENSG00000075073	1.0311	1.3869	1.442	NA	NA	NA	0.5318	1.0318	1.3109
ENSG00000075089	45.9675	55.2057	57.2198	10.2122	0.4009	0.4188	65.3512	39.7166	0.0765
ENSG00000075131	4.5039	10.3533	4.9369	2.0485	0	0	40.2903	23.7312	0.4899
ENSG00000075142	184.1001	225.4619	186.2395	29.358	7.9976	6.684	52.8456	35.4878	21.7389
ENSG00000075151	99.044	103.4838	105.3414	21.1174	15.3704	11.1226	197.5446	238.1963	74.3996
ENSG00000075188	6.0441	5.8161	6.2304	5.6587	0	0	29.1947	10.5623	2.3372
ENSG00000075213	15.0173	14.2775	11.0801	NA	NA	NA	1.8631	1.4008	1.9587
ENSG00000075218	NA	NA	NA	NA	NA	NA	14.0096	17.5483	16.1154
ENSG00000075223	23.141	23.5377	24.6221	NA	NA	NA	41.9201	13.1116	19.3674
ENSG00000075234	4.6667	5.7479	4.1117	59.2763	140.6129	161.842	5.5012	3.038	14.819
ENSG00000075239	48.1488	68.2198	62.5469	460.8007	197.0813	127.9999	204.9302	168.7888	20.99
ENSG00000075240	46.207	32.437	38.6543	14.2915	30.0988	134.0306	10.7775	7.4982	36.6604
ENSG00000075275	0.8408	0	0	1.634	21.9967	5.6322	2.2744	2.6782	11.3268
ENSG00000075290	NA	NA	NA	NA	NA	NA	0.1095	0.17	0.127
ENSG00000075292	68.9706	70.3516	79.2852	23.4279	2.4729	2.2684	82.8511	58.6089	10.7729
ENSG00000075303	33.7009	38.6979	41.4946	7.1143	0	0.8583	25.0812	28.0607	0.6806
ENSG00000075336	29.2328	40.1865	30.9837	18.787	18.0565	13.6884	17.8721	13.8709	18.0107
ENSG00000075340	149.3895	123.0438	126.0049	NA	NA	NA	4.5824	7.6969	29.5344
ENSG00000075388	NA	NA	NA	NA	NA	NA	1.7028	0.793	0.5926
ENSG00000075391	44.7619	35.5817	44.7543	3.9049	8.0788	12.0267	30.1594	23.6333	26.5888
ENSG00000075399	19.4499	15.1149	19.5315	2.9936	26.6933	18.7442	16.4823	30.2863	23.9118
ENSG00000075407	12.1799	14.6901	17.2462	5.1052	0.354	0.4438	3.7601	1.9227	0.975
ENSG00000075413	62.4301	51.6801	62.5444	18.5196	7.6901	8.2084	55.3953	37.969	26.8466
ENSG00000075415	276.7801	239.4058	297.6229	109.3534	82.7637	78.9983	67.441	36.6184	84.4094
ENSG00000075420	10.3211	12.4651	9.0629	33.5933	19.2832	24.1462	18.6923	15.9647	37.9829
ENSG00000075426	35.5273	24.9168	20.0656	8.9013	38.9364	88.3436	9.4275	3.8355	82.199
ENSG00000075429	3.5805	2.0359	3.1481	NA	NA	NA	NA	NA	NA
ENSG00000075461	11.4634	9.4224	13.1536	NA	NA	NA	0.4972	1.3893	0.5191
ENSG00000075539	35.342	26.7131	30.2252	10.827	0.4504	0	20.6766	11.7014	2.7841
ENSG00000075568	22.9768	21.7154	28.9511	14.5669	8.6377	8.6044	29.4533	28.2465	16.5632
ENSG00000075618	147.019	115.8438	131.7119	25.6309	29.7203	36.2651	52.9935	23.9824	249.316
ENSG00000075624	796.9875	830.3451	690.2567	490.4114	681.4772	768.9707	258.8395	150.1968	1265.5625
ENSG00000075643	NA	NA	NA	12.4184	27.1222	24.3131	1.2255	0.7813	4.3159
ENSG00000075651	16.2328	24.085	11.3712	9.3221	8.2537	6.9212	20.1128	17.7422	11.8036
ENSG00000075673	0.3933	0.4534	0.9428	NA	NA	NA	0.8372	0.5368	1.2457
ENSG00000075702	2.1198	0.8448	1.0125	NA	NA	NA	151.5812	209.7667	111.5003
ENSG00000075711	120.2365	160.7779	122.1973	21.1169	5.8813	6.0045	46.799	32.3045	10.9979
ENSG00000075785	123.8733	165.1047	138.8574	121.347	149.0141	150.4769	113.9071	76.1608	173.4572
ENSG00000075790	69.4341	91.4398	95.9168	34.4636	2.158	3.3816	202.5934	156.5186	0.7437
ENSG00000075826	7.1695	1.6118	5.751	0.6907	7.7329	3.5904	6.6431	6.7963	5.2543
