Gene_ID	brain_1	brain_2	brain_3	liver_1	liver_2	liver_3	testis_1	testis_2	testis_3
ENSG00000155329	7.645	10.2647	14.6111	2.8989	3.2942	4.6199	23.6881	25.497	31.6882
ENSG00000155330	34.1625	24.0747	39.3057	12.8866	11.5876	22.4605	85.6625	77.8705	37.6194
ENSG00000155363	1.7756	1.826	2.2066	8.8582	22.7844	18.2177	53.8196	42.7367	70.8877
ENSG00000155366	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000155367	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000155368	461.7237	669.6037	484.4819	681.1078	624.082	688.0576	207.2567	245.8907	175.4481
ENSG00000155380	43.9111	85.7458	41.149	48.803	53.2045	81.4351	259.0696	209.2401	186.3993
ENSG00000155393	8.3185	6.3387	9.9945	2.4763	5.0371	4.6528	16.8021	23.3585	13.8727
ENSG00000155428	0	0	0	NA	NA	NA	0.2584	0.3268	0.0597
ENSG00000155438	23.1312	29.5862	30.5185	7.7362	13.2457	11.6137	41.2471	59.0473	51.7503
ENSG00000155463	27.6346	22.8584	35.658	22.8397	32.7712	29.3984	39.5169	35.551	63.6459
ENSG00000155465	1.8569	2.0062	0.7692	3.6449	2.6788	2.4975	18.1863	7.599	4.4642
ENSG00000155495	NA	NA	NA	NA	NA	NA	7.3188	7.9289	7.4227
ENSG00000155506	89.9621	61.3517	87.0117	9.3	15.1424	16.4112	83.2061	76.1724	52.5376
ENSG00000155508	72.6499	60.7057	68.0082	6.8669	12.3435	15.6748	92.2926	102.9157	71.4187
ENSG00000155511	88.4603	67.5056	79.283	NA	NA	NA	1.3406	1.1605	0.9585
ENSG00000155530	0.4827	0.1097	0.7613	0.0352	0	0.0485	19.0776	15.5227	3.8654
ENSG00000155542	2.0248	3.9006	1.7641	2.2356	4.1636	3.4144	15.4555	15.8107	4.397
ENSG00000155545	9.7612	8.1613	11.5109	2.732	7.0401	7.8726	53.4322	56.0413	40.9973
ENSG00000155561	8.3048	6.2071	7.8384	1.684	2.9348	3.6183	53.3053	37.9253	32.183
ENSG00000155592	4.6381	4.2042	4.8189	0.2878	1.0205	1.4682	10.5178	7.3147	4.2584
ENSG00000155621	13.205	16.8697	11.3731	2.025	3.0842	4.3889	19.906	23.7049	16.5077
ENSG00000155622	NA	NA	NA	NA	NA	NA	0.1448	0.9764	0.2677
ENSG00000155629	1.8714	1.7598	1.5875	20.4045	17.1687	13.8384	2.8139	3.3955	8.1632
ENSG00000155636	11.5648	8.0749	11.0382	2.4147	2.6015	3.2562	20.103	20.6621	13.9799
ENSG00000155657	1.1639	0.498	1.3688	0	0.0069	0	3.5131	1.1431	0.1431
