"F0","F0","F0","F0","F4","F4","F4","F4","F4","F4","F4","F4","F4","F13","F13","F13","F13","F17","F17"
861,03,422,79,133466,38
1163,97,2881,50,26472,89
680,40,447,78,99581,32
892,62,180,03,262143,00
1641,06,253,47,262143,00
1443,42,216,24,262143,00
3316,95,358,02,262143,00
2403,27,306,00,262143,00
2116,53,279,48,262143,00
1315,44,297,84,262143,00
1432,08,255,00,262143,00
818,91,247,35,216971,42
955,80,309,57,202342,19
611,55,281,52,142364,27
656,91,1479,00,29108,24
765,45,197,88,253508,91
1149,39,19253,52,3912,33
1239,30,185,64,262143,00
1563,30,270,81,262143,00
1202,04,315,69,249537,83
825,39,648,72,83383,52
866,70,214,20,262143,00
1695,33,362,10,262143,00
1416,69,179,52,262143,00
1346,22,199,92,262143,00
1159,92,429,42,177020,72
860,22,261,12,215897,53
751,68,3641,91,13526,39
2361,96,398,31,262143,00
1359,99,239,70,262143,00
1742,31,1177,59,96963,80
2012,04,282,54,262143,00
671,49,224,91,195663,16
1379,43,237,15,262143,00
537,84,50292,63,700,85
892,62,250,41,233610,97
832,68,25954,41,2102,54
1462,05,204,51,262143,00
1034,37,662,49,102323,38
699,84,352,41,130145,40
3321,00,465,63,262143,00
494,91,1211,25,26777,54
1373,76,2810,10,32038,15
664,20,1865,07,23338,99
1308,96,457,47,187517,59
1816,83,483,48,246271,45
1108,08,216,24,262143,00
1034,37,1129,65,60008,15
1167,21,709,41,107827,60
1068,39,298,35,234683,23
1251,45,189,21,262143,00
818,10,285,09,188062,70
751,68,19645,20,2507,58
1782,00,362,10,262143,00
933,93,194,82,262143,00
956,61,30391,41,2062,82
1130,76,197,37,262143,00
1065,96,359,55,194294,23
852,93,521,73,107138,58
937,98,330,48,186005,89
706,32,795,09,58218,84
1227,15,397,80,202167,42
2586,33,590,58,262143,00
1064,34,204,51,262143,00
2355,48,415,65,262143,00
827,01,693,60,78141,18
903,15,211,14,262143,00
1663,74,256,02,262143,00
1510,65,185,13,262143,00
1320,30,657,90,131519,78
1494,45,604,86,161921,59
1650,78,256,53,262143,00
1163,16,922,59,82624,54
878,85,194,31,262143,00
1970,73,347,82,262143,00
2225,88,835,38,174620,80
750,87,1048,05,46952,75
734,67,30814,20,1562,50
1227,96,251,94,262143,00
1955,34,294,27,262143,00
1038,42,178,50,262143,00
655,29,461,04,93147,94
2257,47,504,90,262143,00
1304,10,279,99,262143,00
1795,77,345,78,262143,00
968,76,3795,93,16725,39
493,29,281,01,115042,63
1419,12,216,75,262143,00
792,18,1233,18,42099,38
1786,86,929,73,125953,99
670,68,369,75,118873,61
1683,99,270,30,262143,00
473,04,6723,33,4610,96
1246,59,199,41,262143,00
2395,17,576,30,262143,00
858,60,336,09,167422,39
1760,13,429,42,262143,00
1104,84,238,68,262143,00
1027,89,202,47,262143,00
1045,71,2377,62,28823,53
1138,86,322,83,231193,03
1324,35,196,35,262143,00
1652,40,270,30,262143,00
1081,35,1375,47,51522,09
1887,30,1403,52,88125,30
1555,20,390,66,260894,88
848,88,496,74,111994,18
644,76,963,39,43860,57
783,27,6958,95,7376,43
1558,44,205,02,262143,00
831,06,689,01,79046,95
760,59,238,17,209286,81
1266,84,242,25,262143,00
1453,14,217,26,262143,00
1287,09,695,13,121344,80
1137,24,246,84,262143,00
1706,67,258,57,262143,00
2430,81,954,21,166949,58
1346,22,16767,78,5261,61
630,99,192,78,214505,67
1609,47,251,43,262143,00
1327,59,240,72,262143,00
902,34,19487,61,3034,52
1109,70,573,75,126753,84
1406,16,400,86,229890,13
1024,65,183,09,262143,00
1296,81,3053,37,27833,97
1479,06,244,80,262143,00
1300,05,205,02,262143,00
951,75,1327,02,47002,79
1227,15,27962,28,2876,10
972,00,195,33,262143,00
1464,48,210,63,262143,00
857,79,1134,75,49540,35
603,45,836,91,47254,25
