"F0","F0","F0","F0","F4","F4","F4","F4","F4","F4","F4","F4","F4","F13","F13","F13","F13","F17","F17"
2355,48,71678,97,2153,60
6211,08,175065,14,2325,12
3947,13,251176,53,1029,87
5838,48,15718,71,24342,27
5332,23,51435,54,6793,97
1280,61,142410,88,589,32
437,40,306,51,93521,70
321,57,112,20,187828,27
1162,35,262143,00,290,59
566,19,121,89,262143,00
1147,77,45993,33,1635,45
3060,99,15906,90,12611,15
1673,46,2671,89,41046,40
478,71,2006,85,15632,77
906,39,218634,45,271,69
5125,68,214172,45,1568,43
568,62,585,48,63648,53
2005,56,42505,95,3092,18
754,92,626,28,78997,01
982,53,3908,64,16473,98
418,77,6102,15,4497,50
1205,28,7629,09,10353,65
1047,33,8835,24,7768,61
415,53,190,74,142770,64
736,29,523,26,92216,71
1265,22,11194,50,7406,95
1590,03,16461,78,6330,05
1108,89,314,16,231321,42
1567,35,208840,92,491,85
1381,05,262143,00,345,26
545,94,85,17,262143,00
691,74,176371,77,257,03
1905,93,112897,68,1106,37
929,88,2567,34,23736,78
682,83,131735,03,339,70
3448,98,132391,41,1707,30
5480,46,262143,00,1370,11
174,96,102,51,111853,83
12709,71,13315,08,62556,17
447,12,276,42,106006,60
474,66,35072,70,886,93
1339,74,127522,95,688,51
816,48,232522,77,230,12
1292,76,11149,62,7598,64
3332,34,11166,96,19556,57
1668,60,146575,53,746,05
1126,71,238028,72,310,21
1161,54,1922,19,39601,91
2044,44,15778,38,8491,61
784,89,844,05,60942,31
5137,83,262143,00,1284,46
382,32,77213,49,324,50
2228,31,167234,61,873,23
1000,35,35120,13,1866,70
1353,51,1341,30,66132,34
843,21,572,73,96485,96
18263,88,262143,00,4565,97
839,97,8379,30,6569,53
2725,65,131398,95,1359,43
677,16,5940,99,7469,83
555,66,473,79,76860,20
1679,13,189086,06,581,97
1215,00,7837,17,10160,04
1726,11,97211,10,1163,67
526,50,43862,04,786,66
8512,29,4274,31,130514,47
4433,13,99591,27,2917,21
470,61,31411,41,981,87
261,63,4070,82,4211,96
1180,17,31949,97,2420,76
5079,51,10826,79,30746,83
1673,46,149836,98,731,94
858,60,81134,88,693,52
3964,95,262143,00,991,24
1211,76,7354,71,10797,65
1367,28,74759,88,1198,58
5518,53,3247,17,111377,30
947,70,48048,63,1292,61
14141,79,2298,57,262143,00
1930,23,142979,00,884,74
1170,45,24706,44,3104,71
2692,44,244098,75,722,87
1554,39,213372,78,477,42
353,97,298,86,77620,59
1044,09,40777,05,1678,03
5187,24,112049,04,3033,94
339,39,1355,58,16407,87
1718,82,254779,67,442,12
6927,12,141491,84,3208,48
8176,95,116621,70,4595,05
31015,71,8013,63,253647,58
2752,38,6107,25,29535,27
429,30,129,54,217187,73
279,45,500,31,36605,23
4600,80,89099,55,3384,04
1099,98,601,80,119787,34
1200,42,2179,74,36091,66
1284,66,233799,81,360,10
918,54,262143,00,229,63
330,48,566,10,38258,71
2509,38,262143,00,627,35
366,93,13942,38,1724,74
3207,60,118,83,262143,00
1078,11,7638,78,9249,48
10880,73,385,56,262143,00
2242,89,66663,12,2204,96
805,14,55965,87,942,81
1037,61,139,23,262143,00
1035,99,124678,68,544,55
947,70,26957,58,2303,92
1521,18,36301,29,2746,23
1090,26,4005,03,17840,32
2098,71,48369,42,2843,54
1231,20,109653,57,735,84
43991,10,108043,50,26683,60
5414,85,161115,63,2202,56
9474,57,47186,73,13158,85
1062,72,7841,76,8881,44
852,12,212,67,262143,00
2095,47,124617,98,1101,99
1357,56,3431,79,25924,87
627,75,71,40,262143,00
661,77,659,43,65768,30
1554,39,1648,32,61801,18
313,47,68,85,262143,00
855,36,26462,88,2118,31
6812,10,262143,00,1703,03
667,44,118155,78,370,20
650,43,6446,91,6611,91
705,51,22893,39,2019,63
1158,30,32411,52,2342,07
3585,06,6830,43,34397,48
1766,61,19309,62,5995,77
1226,34,198011,06,405,88
584,82,18086,64,2119,06
2069,55,254836,28,532,22
363,69,247,35,96360,21
3573,72,6077,67,38535,56
2119,77,210393,36,660,29
2566,08,32610,42,5156,94
479,52,218,79,143634,09
3493,53,214464,69,1067,55
423,63,101222,76,274,28
1245,78,8652,66,9435,61
5823,90,24540,69,15552,69
2806,65,118877,94,1547,27
1415,88,370,26,250609,75
1305,72,49301,70,1735,67
1590,84,70569,72,1477,36
555,66,29284,20,1243,52
2587,14,89782,95,1888,44
2862,54,218545,20,858,40
6150,33,48603,51,8292,95
11350,53,262143,00,2837,63
1500,93,262143,00,375,23
10049,67,125710,91,5239,10
497,34,56,61,262143,00
420,39,141,78,194319,20
910,44,288,15,207067,05
1470,96,457,47,210725,22
595,35,79372,83,491,56
1156,68,181277,97,418,16
553,23,157243,70,230,57
568,62,172500,36,216,03
937,98,10214,79,6017,86
8117,01,22408,38,23739,08
1627,29,4440,57,24016,21
431,73,15859,47,1784,03
390,42,451,86,56624,77
210,60,103,02,133972,33
2584,71,33398,88,5071,75
3250,53,24611,07,8655,70
890,19,15212,79,3834,88
684,45,3005,43,14924,97
5451,30,135016,89,2646,00
1499,31,79971,05,1228,67
808,38,223723,22,236,80
2740,23,124962,75,1437,09
1824,93,1485,63,80503,33
577,53,85,68,262143,00
4899,69,22986,72,13969,15
2773,44,5759,94,31555,79
775,98,1209,72,42038,18
915,30,351,39,170707,39
14264,91,74873,61,12485,86
6059,61,1271,43,262143,00
8797,41,189799,05,3037,66
3189,78,1327,02,157529,38
5664,33,262143,00,1416,08
3697,65,116944,02,2072,17
23630,13,262143,00,5907,53
1649,16,1423,92,75902,40
11593,53,18735,36,40553,84
9476,19,262143,00,2369,05
776,79,33807,39,1505,81
2649,51,30158,85,5757,44
5691,06,262143,00,1422,77
1419,12,144510,53,643,57
3817,53,87139,11,2871,10
2793,69,18361,02,9971,48
836,73,507,96,107952,84
3074,76,262143,00,768,69
866,70,2623,44,21650,90
3305,61,94429,05,2294,16
1696,14,28024,50,3966,45
1235,25,2655,57,30484,24
271,35,84,66,210053,48
