"F0","F0","F0","F0","F4","F4","F4","F4","F4","F4","F4","F4","F4","F13","F13","F13","F13","F17","F17"
11147,22,262143,00,2786,80
4927,23,145030,23,2226,50
4916,70,45317,58,7110,26
5389,74,155891,19,2265,82
1004,40,595,17,110597,16
7843,23,19858,38,25883,88
10039,14,106358,97,6185,87
797,04,1701,87,30692,48
1172,07,22197,24,3460,45
881,28,101467,55,569,20
1260,36,3687,81,22397,75
1355,13,96880,62,916,69
1182,60,19215,27,4033,38
1982,07,13678,20,9496,60
858,60,1463,19,38456,38
460,89,4296,24,7030,51
1538,19,142031,94,709,74
5394,60,788,97,262143,00
1017,36,6625,92,10062,52
516,78,5287,68,6405,00
1142,91,557,43,134369,28
3977,10,235088,58,1108,70
3588,30,74539,05,3154,88
2630,07,262143,00,657,52
4704,48,262143,00,1176,12
2281,77,262143,00,570,44
2292,30,202480,70,741,94
1442,61,237341,25,398,34
1722,06,40797,45,2766,26
13735,17,82516,47,10908,67
1128,33,950,13,77827,20
1448,28,262143,00,362,07
669,06,759,39,57740,22
1325,97,4235,04,20518,92
655,29,1420,86,30224,60
739,53,22610,34,2143,52
3688,74,4435,98,54496,27
1005,21,39946,26,1649,15
1387,53,21162,96,4296,79
537,84,42908,34,821,47
1390,77,53506,65,1703,44
4161,78,262143,00,1040,44
2924,91,696,66,262143,00
1608,66,1062,84,99191,55
1539,00,82972,41,1215,58
584,82,11510,19,3329,80
1744,74,262143,00,436,18
1904,31,29589,69,4217,70
1098,36,25515,81,2821,07
3824,01,262143,00,956,00
15549,57,262143,00,3887,39
12823,11,94997,19,8846,28
10835,37,12501,12,56803,24
808,38,183311,34,289,00
2190,24,128329,26,1118,52
626,94,1847,73,22236,47
2490,75,145786,05,1119,68
1707,48,30285,33,3694,89
32382,18,243264,39,8723,80
972,00,1864,05,34173,31
15801,48,262143,00,3950,37
1956,96,744,60,172241,27
1027,08,6356,64,10589,00
4725,54,11004,27,28142,88
12123,27,53839,17,14757,06
2481,84,63704,61,2553,18
1394,01,23824,65,3834,58
3206,79,237693,14,884,16
852,12,3188,52,17514,18
677,16,517,14,85814,64
1966,68,186055,14,692,74
2021,76,98470,80,1345,55
3858,03,120098,37,2105,26
912,06,79772,67,749,29
2179,71,249322,67,572,95
574,29,165765,81,227,05
2049,30,262143,00,512,33
7100,46,262143,00,1775,11
943,65,8321,16,7431,99
810,81,3702,09,14353,26
8805,51,42990,45,13423,35
8780,40,65596,20,8772,31
2423,52,191761,53,828,25
1201,23,372,30,211451,81
5815,80,232298,88,1640,74
4695,57,262143,00,1173,89
3993,30,80419,35,3254,24
