"F0","F0","F0","F0","F4","F4","F4","F4","F4","F4","F4","F4","F4","F13","F13","F13","F13","F17","F17"
46,98,1363,74,2257,67
-50,22,3257,37,0,00
-14,58,2044,59,0,00
131,22,811,92,10591,69
57,51,982,77,3835,04
59,94,11056,80,355,28
2,43,638,01,249,61
47,79,1970,13,1589,72
131,22,6127,14,1403,53
2,43,1467,78,108,50
51,03,28029,09,119,31
102,87,12625,56,533,97
72,90,700,74,6817,87
111,78,4756,26,1540,20
68,85,3293,58,1369,98
4,86,2276,64,139,90
37,26,1025,10,2382,07
21,87,19215,27,74,59
11,34,6491,79,114,48
67,23,4108,56,1072,39
206,55,669,12,20230,17
120,69,1867,11,4236,23
111,78,4215,66,1737,71
111,78,7245,06,1011,11
-97,20,3448,62,0,00
40,50,11101,17,239,09
72,09,17198,22,274,71
-15,39,2032,86,0,00
71,28,754,29,6193,09
64,80,1887,51,2249,90
0,00,8867,88,0,00
157,14,5088,27,2023,93
61,56,970,53,4156,88
-13,77,11309,76,0,00
5,67,687,99,540,11
-10,53,18250,35,0,00
41,31,3060,51,884,59
21,06,1765,11,781,92
109,35,1146,48,6250,73
29,16,2045,61,934,21
59,94,769,59,5104,29
57,51,1795,20,2099,47
59,13,908,82,4263,91
102,87,2452,08,2749,37
52,65,689,01,5007,85
-119,07,1555,50,0,00
45,36,1192,89,2492,02
-44,55,3137,01,0,00
51,84,5252,49,646,81
149,04,2893,23,3375,97
60,75,3326,73,1196,76
0,00,1189,83,0,00
-47,79,2834,58,0,00
88,29,1001,64,5776,68
38,07,1869,15,1334,80
30,78,2942,70,685,49
88,29,7839,21,738,10
75,33,2237,88,2206,02
40,50,2357,22,1125,99
91,53,837,93,7158,70
124,74,1409,13,5801,40
123,12,712,47,11325,06
-14,58,1475,43,0,00
-71,28,1048,05,0,00
-7,29,11200,62,0,00
10,53,4728,72,145,94
653,67,5893,05,7269,37
-11,34,7514,85,0,00
79,38,4868,97,1068,45
263,25,15293,88,1128,05
169,29,1027,14,10801,40
15,39,1165,35,865,49
49,41,5888,46,549,91
68,04,3958,11,1126,56
1,62,878,22,120,89
102,87,4816,95,1399,57
1,62,881,28,120,47
60,75,660,96,6023,51
54,27,1413,72,2515,79
497,34,753,27,43269,41
55,89,12787,74,286,43
82,62,683,40,7922,98
-90,72,643,62,0,00
111,78,2095,59,3495,72
-0,81,6970,17,0,00
-27,54,3175,26,0,00
21,87,2239,41,640,02
-49,41,1645,77,0,00
-25,92,1351,50,0,00
102,87,923,61,7299,25
125,55,1591,20,5170,95
